Tasks: 80
Gap: 100
Threads: 1
Verificacion ns,Consulta ms
46377,83
38361,89
47008,395
29922,302
48398,361
29957,267
54227,367
61733,382
33120,460
44166,387
39811,526
60058,462
52205,535
56144,468
55829,187
41508,508
31526,449
45918,251
50199,260
54737,289
40867,405
44406,142
46492,288
48518,213
43327,159
53629,195
47356,86
52547,102
49665,106
75346,112
37796,123
51544,187
38537,225
56118,152
56441,277
40127,303
54474,119
52830,83
37369,198
55117,204
61661,249
88579,262
132224,171
86794,85
78636,90
87006,86
59737,90
79036,510
40277,546
45818,512
41077,216
51274,175
31700,438
48756,164
44082,334
75890,505
47523,396
49696,493
49810,569
48605,476
34535,540
51554,377
48197,327
47473,346
53095,539
93677,425
53771,458
49497,209
45767,404
48060,287
44509,349
43832,356
38918,251
49063,262
47409,355
51889,448
31832,394
44224,81
44235,467
45039,531
Numero de fallos: 0
