Tasks: 80
Gap: 100
Threads: 2
Verificacion ns,Consulta ms
640067,101
726078,90
843741,81
586276,84
530109,516
645335,217
572439,126
563322,423
435328,497
516889,655
502113,320
698246,287
636527,248
590010,308
919869,180
804828,194
1112356,328
1023595,79
756876,106
743518,169
739264,250
712506,282
565094,237
540219,143
585111,122
585119,82
814514,79
617752,86
876003,132
1039950,80
801681,152
840058,169
776926,81
540403,118
666671,80
903867,78
899126,82
888368,81
655455,81
562169,82
945742,80
665493,83
894537,82
779869,92
948585,101
621650,82
515072,90
616923,79
497625,90
836475,82
700580,93
614278,90
905561,95
643770,78
872404,82
761274,102
898420,94
760978,80
808435,79
508257,79
544812,81
792114,80
597227,81
901869,80
596404,79
1041416,92
920533,81
606646,80
927585,84
897004,91
691044,159
609375,79
548426,166
795369,80
702216,82
1045131,79
885165,138
567960,80
530582,94
810339,78
Numero de fallos: 0
