Tasks: 200
Gap: 40
Threads: 1
Verificacion ns,Consulta ms
75561,87
86782,87
44268,91
37380,645
48259,147
49261,226
49017,506
46405,584
49896,1140
50709,189
46338,257
41437,104
48943,987
42564,96
51769,106
48975,883
48399,1455
41238,2544
51457,2689
57553,1818
40476,2901
52977,2319
50071,2703
48426,3140
44665,2513
52995,1504
44433,2576
50245,1881
36670,2129
41197,3186
56194,2748
34224,3075
48866,3053
40300,2770
33172,3446
59075,2721
34093,263
49352,2713
36319,2968
54151,2736
48347,3203
53598,2913
59863,1659
42621,2430
44162,1743
46731,1973
51352,2344
49373,2873
40499,2743
49255,1758
47286,3184
46429,1803
45608,3521
50683,2760
40782,1679
46255,2297
52227,1964
49189,3654
39582,2408
44777,2879
48288,3567
65674,1030
54652,2915
54839,3277
38138,3341
41545,2756
50274,1452
39766,4049
45675,2518
47012,3341
45768,3652
41202,4397
66389,3709
47833,2782
50621,3066
49153,4348
45263,4035
49821,3142
44478,3463
55077,3177
50335,114
62201,4431
63347,3852
37615,4299
46314,4689
33583,4341
50247,5217
40899,4216
76805,3796
46657,749
38069,5173
51457,5151
44182,4138
39798,4972
32488,5199
49558,5145
40645,2615
48684,5236
38027,4919
51556,5146
52482,2259
50807,4595
60729,4695
38638,3368
41650,3827
47235,991
58771,5061
47904,4128
34971,3752
43644,5155
34272,4830
45937,5270
50951,5719
42627,86
44342,6878
36970,5712
53765,6912
69609,3443
77385,6329
72803,4288
84701,5220
95423,5271
90149,3583
103647,6461
94776,6237
115849,4852
109156,6403
105083,5161
113724,5817
120393,3161
118221,6397
89521,6020
113533,5210
88408,4914
145159,6309
99263,3893
145032,7021
100823,6707
133002,6038
111983,6393
96009,6116
94867,5411
86510,4662
90673,6149
111880,6229
80095,6121
93062,5164
103479,4820
98060,6657
102183,6084
121481,4031
123426,6693
87583,6228
99470,7059
108676,6591
114793,5833
152814,5777
102006,6856
89708,5209
92685,4017
95866,5364
138861,6572
115725,5650
85051,6092
120229,5572
91592,5070
126129,6443
89498,7204
94439,7005
89765,5596
102177,6071
144502,6573
92718,6254
137973,6480
98225,6470
114275,6934
119256,6801
90092,6262
86931,7204
102264,7280
94405,7696
503547,7280
107847,6613
97445,7073
93607,6482
238733,6975
95097,6492
121001,6896
109778,7537
90419,7259
112066,6932
133313,7156
99888,7240
160516,7509
111735,7678
133720,7644
102077,7612
112995,7665
108900,7493
102721,7450
Numero de fallos: 0
