Tasks: 80
Gap: 100
Threads: 2
Verificacion ns,Consulta ms
8417824,99
7553011,90
4620413,92
4373229,92
4202015,464
4227230,216
4395605,544
4844385,84
4316769,168
4693918,628
4240067,628
4290331,412
4611361,768
4427332,608
4410884,817
4270382,88
4247646,835
4205194,654
4313359,241
4324729,292
5152971,408
4328372,491
4526439,112
5856679,309
4518502,133
4651857,276
4851631,258
5049024,299
6477400,188
5220072,327
3436162,81
3456689,241
3516183,78
3380855,114
3360042,78
3343831,129
3439154,80
3414334,80
4807852,82
5279344,83
5236051,84
4438839,85
4752884,122
4300786,82
5928019,82
4459128,85
6143451,87
4458802,85
4466588,83
6147455,83
4322930,82
5213918,82
4278930,84
4444352,82
4564051,89
4414493,83
5836144,85
4616676,81
4943409,83
4418515,83
4367797,82
4320897,83
4881575,95
4359607,106
4610189,84
4406550,85
4418985,83
4424005,83
4594891,83
4440774,99
4457559,85
4788339,84
4356594,84
4542185,82
4746437,84
8490617,89
9025714,90
4557438,84
7233782,84
4646509,82
Numero de fallos: 0
